feature,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
center_x,402.38860103626945,245.89300411522635,158.65124555160142,330.6268656716418,540.1341463414634,535.1268292682927,496.2819383259912,573.7280334728033,161.6809116809117,81.44067796610169,108.20707070707071,121.9153005464481,538.1862348178138,334.2378048780488,564.3293172690763,554.33
center_y,-381.139896373057,-468.58024691358025,-520.5338078291815,-481.73880597014926,-129.16666666666666,-145.1560975609756,-123.94273127753304,-57.82008368200837,542.048433048433,509.3050847457627,531.8939393939394,490.55464480874315,-140.80566801619435,393.3993902439024,-41.8714859437751,-14.445
center_z,-132.1917098445596,-161.88888888888889,-222.44483985765123,-149.75,-44.72357723577236,-59.63414634146341,-64.04405286343612,3.8953974895397487,83.25641025641026,10.665859564164649,9.575757575757576,20.75409836065574,-71.91902834008097,28.609756097560975,10.686746987951807,36.71
var_x,605.0825777202073,10092.112471516513,6371.063650228775,4553.583095757169,97.03907416625188,306.5328550932568,296.4688316244981,35.097992335009316,14559.04074888075,13898.052904393615,23010.387392916506,21727.82568306011,150.42046015601858,15462.958566420524,60.987887031998966,68.12170854271356
var_y,2909.204285405872,10054.128864401591,2105.8068886629385,5505.272346134497,3613.13537414966,7338.602965088475,11802.390511091184,4681.450687387925,2032.549076109076,650.5426197136745,1595.1735327963179,1472.423033161165,5494.368585629176,14368.521956813604,5339.281804637906,7419.062286432159
var_z,2666.687014248704,23929.487603305788,16339.112125063548,11564.735018726591,5134.437564294011,4342.723338115734,10653.794510935246,5020.925987131253,26745.29978021978,36959.58225393168,28999.748676639818,44929.879092746465,4567.936506369113,42334.81972104124,5488.086960746211,7154.1265326633165
cov_xy,997.5806886873921,9922.945923885318,3238.9310244026437,4644.371233719045,554.5163265306123,1391.8238163558105,1379.9395345210717,319.5029183221406,-1019.3759299959299,56.09338489386209,1986.363789796701,-2410.078920577888,382.30512491359735,-13307.587622137691,79.16718486850628,-248.21924623115578
cov_xz,161.27280332469775,-1104.835169880624,3282.7764489069646,961.5056179775282,-237.26172224987556,-508.94368723099,-733.0671708705314,-240.41512253436937,-1984.6065201465196,5770.009256211946,7639.660222477943,5648.203772737481,-670.567986570554,-393.76929961960116,-440.7311018266614,-637.7781909547739
cov_yz,-1340.2717508635578,-2286.976584022039,-803.9025927808848,-1733.4812734082398,-191.3251700680272,-636.9131994261118,1181.1706756071892,-120.16597517668144,-6898.881025641024,-180.22790850748692,-4516.748906789414,-4211.449539636201,-759.9832790230737,-10197.287088834193,884.7259036144577,971.8853768844223
x_range,84.0,328.0,274.0,214.0,34.0,57.0,56.0,18.0,409.0,389.0,444.0,469.0,40.0,410.0,24.0,26.0
y_range,164.0,324.0,177.0,240.0,210.0,271.0,375.0,227.0,145.0,96.0,135.0,132.0,237.0,385.0,238.0,255.0
z_range,149.0,429.0,368.0,283.0,213.0,193.0,281.0,184.0,464.0,522.0,492.0,577.0,222.0,537.0,187.0,215.0
bbox_volume,2052624.0,45590688.0,17847264.0,14534880.0,1520820.0,2981271.0,5901000.0,751824.0,27517520.0,19493568.0,29490480.0,35720916.0,2104560.0,84765450.0,1068144.0,1425450.0
path_length,589.5718488781757,1370.0917842366794,1268.199611585685,1090.5330325969207,766.1306644446139,835.670914339629,1119.3421524860855,717.8889918104687,1458.6947813328843,1558.6136483787973,1645.3523315201526,1720.752558936902,775.3929462925573,1808.4266524310415,748.0409025508372,807.6777659653472
radius_mean,74.31309693150638,204.66958484987808,145.27297335744575,142.82301650574183,86.55399501486794,100.59143574157756,142.51944732196205,94.48886727213498,196.08553946080704,220.84835107683443,223.22758082883252,255.1578466592654,95.24357726793343,266.60751066149584,99.9982446033333,119.58365132360504
radius_std,25.095314550077337,44.86638268167732,60.30235154286157,33.89362568902442,36.36536847971976,42.65701644809016,48.486965248667246,27.78156600759632,69.11942559419937,51.144893427193395,60.40367092589448,53.35006833280391,33.23418690940112,29.485026770237646,29.127076126053655,16.407324970202804
