group,center_x,center_y,center_z,var_x,var_y,var_z,cov_xy,cov_xz,cov_yz,x_range,y_range,z_range,bbox_volume,path_length,radius_mean,radius_std
clean,410.35383297291116,-288.50979203414397,-103.84772719277898,2794.6225685552104,6001.248990290267,9956.487895227609,2806.2014333030043,197.62899968035,-741.483233767294,133.125,248.5,262.5,11397546.375,969.6786250472823,123.90405212438932,39.931073830964266
noisy,308.0409147331839,283.7599172851014,16.042450062802505,11117.22441892528,4796.490361911635,24647.434940544703,-1810.16652930875,1866.3025190386575,-3113.4958084915643,276.375,202.875,402.0,25198261.0,1315.368948426065,184.59403773526338,42.783959131998294
