group,center_x,center_y,center_z,var_x,var_y,var_z,cov_xy,cov_xz,cov_yz,x_range,y_range,z_range,bbox_volume,path_length,radius_mean,radius_std
clean,3.358276379445242e-17,7.029495034434014e-17,2.4946312174985826e-16,0.09707985283409536,0.06669528186333584,0.0032079426975704403,1.682644980750359e-16,5.092552267548663e-17,5.0543409995018017e-17,0.24892298098193935,0.2050330397533311,0.09040873565813651,0.4793597849986558,0.6926381712826414,1.6784994417006302e-16,0.08128716879446511
noisy,8.018306865857602e-17,7.435569245282566e-17,1.674003363385538e-16,0.06604837782285539,0.0713508279213396,0.005256131198127859,8.690686337182026e-17,5.392747546514638e-17,2.6184106201716475e-17,0.15825905938856494,0.1631247811957281,0.13032721745158868,0.529192551971238,0.48524056316030795,2.9671958436108745e-16,0.0896832882399599
