feature,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
center_x,-3.681568579067877e-17,-2.924044180082717e-17,-5.0572436708903925e-17,-5.3025577295529864e-17,2.166288828536891e-17,0.0,0.0,3.7162276974900636e-17,1.2146029671112825e-16,-1.032265475680533e-16,3.588599675556062e-17,1.1648241569837709e-16,5.753382475790285e-17,-2.166288828536891e-17,-5.707170568354218e-17,5.329070518200751e-17
center_y,1.104470573720363e-16,-5.848088360165434e-17,7.58586550633559e-17,7.953836594329479e-17,-5.77677020943171e-17,6.93212425131805e-17,-3.1301442103969174e-17,-2.972982157992051e-17,1.4170367949631627e-16,0.0,3.588599675556062e-17,-3.8827471899459027e-17,-8.630073713685427e-17,-8.665155314147564e-17,-2.853585284177109e-17,-3.552713678800501e-17
center_z,-3.727588186306225e-16,-5.391206457027509e-17,-2.576033494859794e-16,3.314098580970616e-17,1.0989402703098603e-16,1.2185374660520011e-17,8.901347598316233e-17,4.540765717870672e-16,-8.729958826112342e-17,8.602212297337775e-18,-9.868649107779169e-17,8.250837778635044e-17,-2.0316631867634443e-16,3.114040191021781e-17,-3.5669816052213865e-16,-3.4652836156112697e-16
var_x,0.7693870161640591,0.5988792866700186,0.8209197830620998,0.5903338296265694,0.6910290312893868,0.7666194063102384,0.6200335274274881,0.5690698971245427,0.74739790451638,0.7857337892943501,0.6908497934423854,0.7174441345693592,0.6611117120451624,0.6499312616346596,0.631362354947716,0.5812726903988261
var_y,0.3397165003901697,0.4504361211770224,0.3535292673495193,0.4670773149227948,0.48911960204353694,0.41740672260098716,0.49709881829426117,0.5212959423734878,0.3775429954339901,0.2570168153849072,0.37713456121749306,0.31525433307442785,0.4605770501952036,0.3630947222569159,0.45540332716613524,0.44204431856418
var_z,0.010144122900478648,0.0028714820555697652,0.0014277611077030523,0.0026511923650721957,0.0004561818770279742,0.0007045046700064555,0.003037301779158862,0.00028328575201941656,0.0021698788504348316,0.013307621656772938,0.007767499259462957,0.01375843471050491,0.004134618409780502,0.0022630166406277337,0.0021082109042784214,0.0005329846922781135
cov_xy,-3.379819572361479e-16,1.4680635036365707e-17,-7.2957513046796e-17,-1.6632554676032308e-17,2.030122102171715e-16,5.224578939412501e-17,-1.3951475176705506e-16,1.3434631558489288e-16,1.153838929164002e-16,3.503130902943455e-18,-8.642875444866725e-17,2.4941996717606256e-17,1.4441925523579274e-16,7.876811673181539e-17,1.8623095896938108e-16,3.5705665113572874e-17
cov_xz,1.9154238380577244e-17,-1.101047627727428e-17,-1.3768748046467342e-16,1.7178310376339618e-17,-5.437827059388522e-18,-2.7823603987235847e-17,5.772177229798933e-18,5.831003280594309e-19,-3.8699202572648315e-17,1.153338481892153e-16,5.677596227197004e-17,-2.6767020867675008e-17,-6.318342416565932e-18,-4.260947693897772e-17,-5.3720468933475315e-18,-4.463208139196609e-18
cov_yz,3.397166807121247e-18,-3.463712328892534e-17,-1.3496148643099559e-16,6.536074220347071e-18,2.1411444046342306e-17,1.3605674321386722e-19,1.3263726400389037e-17,-1.5131453513142232e-17,1.8873791418627663e-17,-7.679940825683728e-18,3.724165842097044e-17,-6.995925908596877e-18,-4.6936257951632637e-17,-2.5787433690285197e-17,-5.3720468933475315e-18,1.1436970856691311e-17
x_range,2.6874273869689986,2.166558879278538,2.644523748229009,2.1539768769762935,2.447303314877384,2.8109924852835793,2.5543481889053306,2.269416942253877,2.411849973078049,2.3675939210061685,2.367596431151113,2.2995516180092155,2.5945706348306135,2.0871527635478024,2.5175164201987013,2.239225473254629
y_range,1.9966908324504793,2.0885303737349217,2.2135733278793324,2.180374576907485,2.4524102267918204,1.8402005485862045,2.248770543484893,2.4182716235635136,2.1232291192140633,1.804752828722477,2.091037632260422,1.854194666445939,2.1528874186485716,2.0083394814448314,2.310529776838097,2.074165143076873
z_range,0.3576200274239525,0.19226625522083557,0.13268031359610943,0.16214342913938223,0.08968436796262325,0.13190661496502848,0.19348849767287013,0.061373321112964285,0.18497648660668378,0.43483369615779155,0.3027514898853516,0.4425080806781916,0.21362470561787372,0.17915006831087885,0.16409532603137766,0.08584234899802341
bbox_volume,1.9189753440024004,0.8699901976105663,0.7766902867539177,0.7615027919038305,0.5382668932369441,0.6823252074137798,1.1114255927188013,0.3368208733313991,0.9472479574195917,1.8580103910807264,1.4988418630854037,1.8867731873361984,1.1932688276818633,0.7509453655266222,0.9545091431580819,0.3986968007023373
path_length,7.933619687813283,6.694164085208948,8.729769772559594,7.6355552436681595,8.851476633897839,8.307575174555545,7.85396079987181,7.597603956272379,7.439073709076052,7.057393187583938,7.370739428394305,6.743874748381826,8.141157320364705,6.783104676773906,7.480540338664128,6.754081824945222
radius_mean,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999998,0.9999999999999998,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999997,1.0000000000000004,1.0,1.0000000000000002,1.0000000000000004
radius_std,0.3376970626484243,0.21921372789506607,0.4150968356274155,0.23731206998881593,0.42014662030878,0.42406210959824975,0.3402129755606726,0.2940194629234292,0.35249629209916705,0.2315837685806392,0.2705923286971026,0.20908652832474695,0.34893887716868016,0.11059338387384729,0.29127587430752505,0.13720374640345265
