feature,original_01,original_02,original_03,original_04,original_05,original_06,noise_07,noise_08,noise_09,noise_10,noise_11
center_x,6.729836786265695e-11,-1.1784982342290653e-09,-1.3923038489854516e-09,6.48866713482098e-09,3.728112488081961e-09,-1.6424178737520832e-09,6.530478776219379e-10,2.347668652227168e-10,-8.579579954335152e-10,3.1351563042843255e-09,8.01149078390815e-10
center_y,-1.6688909772392753e-10,-1.0650714573937382e-09,5.2723270752022614e-11,-4.696267727227686e-10,-1.1429867961189964e-09,2.7030908059530447e-10,-4.4013407216014634e-10,1.8805551987427932e-10,-1.025830417936688e-09,7.730922028244537e-11,1.166799021038142e-10
center_z,-6.351622672521429e-12,1.71956281055583e-11,3.6722562456007426e-11,2.3932324086798587e-12,0.0,4.117151823646785e-11,-2.05865769411426e-10,-1.2040877881268207e-11,8.278988970186831e-13,-1.2005764189751948e-10,4.971215358554301e-12
var_x,0.9746248611647738,0.9497248080683293,1.0359456207119213,1.044945004999647,1.141040346137427,1.129716944604491,0.9789935254146802,0.9769549864532036,1.0352491077081603,1.046529554943517,1.128069728696486
var_y,0.10888630211551416,0.14204813094849206,0.08712790096589138,0.0760300030605504,0.04100415514895436,0.047112278996920345,0.10799830613981064,0.11574872127773175,0.09543637414841019,0.07333692769207341,0.044532164591093465
var_z,0.0015424925266427124,8.735029518693715e-05,0.0004961067898461679,2.262138992067425e-05,0.0,0.0005256997652331446,0.00435287131154879,0.001994047254941694,0.0014616631463366182,0.000867774472501612,1.4208196269188858e-06
cov_xy,9.275318851501453e-10,7.459462471062948e-10,1.590597097079265e-10,1.6768789370619344e-09,7.493820950470815e-10,-6.020962649090832e-10,-2.131027592714167e-10,2.759565051006311e-10,-9.355062903674837e-10,4.1826498591057586e-10,-5.65491151372349e-10
cov_xz,7.865653092508883e-12,2.166898517159761e-11,-8.904192105163884e-12,1.4614834613516025e-11,0.0,7.507215456424378e-11,-3.071345732760142e-10,4.1500021330289255e-11,1.1923007805230572e-10,-1.0786386593185961e-10,4.354890213640118e-12
cov_yz,-8.270074656244056e-12,2.127603016410514e-11,-1.948791421231803e-11,4.6321885690347194e-12,0.0,-1.1931532423776441e-11,6.43516453221959e-12,2.846024174431768e-11,-5.223204145636661e-11,-8.487077916449347e-12,1.41619378068108e-12
x_range,2.5538928508758545,2.516355872154236,2.6994712352752686,2.6720285415649414,3.008603811264038,2.981213092803955,2.5686447620391846,2.580127477645874,2.720116972923279,2.6774189472198486,2.9651299715042114
y_range,1.0317427814006805,1.1289522051811218,0.9456147253513336,0.8387960493564606,0.607623815536499,0.7032130658626556,1.0039701163768768,1.095468521118164,1.0002199709415436,0.921655535697937,0.6131582856178284
z_range,0.16940823197364807,0.03441357612609863,0.09184786304831505,0.021651246584951878,0.0,0.11948709189891815,0.23768722265958786,0.15077097713947296,0.1128806471824646,0.1645246036350727,0.009974871412850916
bbox_volume,0.446384001889027,0.0977636532514638,0.2344563431947894,0.04852665716758862,0.0,0.25049608497365516,0.6129579306770045,0.42614639196211057,0.3071161060773783,0.4059904533842001,0.01813525396584108
path_length,6.8357157715152645,7.232726458247255,6.83499552241451,6.593814649349025,6.552185279331262,6.659085451398871,6.945806854589929,7.1381080073087215,7.306473045171314,6.769044750397317,6.458075780342843
radius_mean,0.999999999121108,0.999999999935529,1.0000000011756536,1.0000000026242981,0.9999999946411556,1.0000000006167011,0.9999999999740742,0.9999999996408576,1.0000000025705165,0.9999999997119097,1.0000000000200502
radius_std,0.287605996061784,0.3004629943273241,0.3479234605811627,0.34432339420735897,0.4230898230386013,0.41772931339873115,0.2982100668669962,0.30432617759950387,0.36049154968523167,0.34400859464269734,0.4117812530812603
