group,center_x,center_y,center_z,var_x,var_y,var_z,cov_xy,cov_xz,cov_yz,x_range,y_range,z_range,bbox_volume,path_length,radius_mean,radius_std
noise,1.4613893580318874e-09,5.162425288041858e-10,9.34052900594444e-11,0.0618141902934194,0.028844168767826143,0.001639545978884868,5.664433162573519e-10,1.6540249511977892e-10,2.972571930987292e-11,0.16031683654539164,0.1858711481688559,0.08334491530353916,0.21792803981627962,0.3292790132431642,1.233421806771191e-09,0.046197186386722836
original,3.343306886029448e-09,5.84011739473458e-10,2.0006238704373295e-11,0.07811110137414405,0.03813405312956067,0.0005861660453849003,7.68047993765963e-10,2.977178892555105e-11,1.4373635459347953e-11,0.2103497912069671,0.1981676444029655,0.06521534884489609,0.16452522338441275,0.249855664593176,2.740463093652519e-09,0.05698841416470545
