group,center_x,center_y,center_z,var_x,var_y,var_z,cov_xy,cov_xz,cov_yz,x_range,y_range,z_range,bbox_volume,path_length,radius_mean,radius_std
noise,314.4820122270784,-251.26492098601693,-185.44319047003742,20006.852186081007,113759.39175579666,465.11010037232444,26106.259812384655,-472.8293499872977,-1756.7208617284916,424.8,886.8,60.8,24020251.2,2393.7870692227675,344.90431323270684,117.22300324541122
original,324.5492507396253,-262.468954995486,-172.6833888491793,21197.009544333752,101160.90681028222,398.87577224341436,26465.281573955424,921.6690497613675,-2160.372893379495,412.6666666666667,845.6666666666666,57.5,20891529.0,2237.6309188870073,329.23135333609156,114.98718143008811
