class,n_samples,avg_length,std_length,min_length,max_length,x_mean,y_mean,z_mean,x_std,y_std,z_std
circle,16,278.25,68.30126279945343,193,413,322.27201257861634,68.60489667565139,-35.419362084456424,209.0692480795187,396.58197941926414,164.62178196886566
diagonal_left,12,315.0,83.79836911698621,220,441,457.7653439153439,13.284391534391535,-50.93439153439154,54.719561276177856,162.66200331519764,188.87688364913987
diagonal_right,12,295.0,64.39979296032972,206,442,462.9324858757062,53.09632768361582,49.284180790960455,53.155487899373306,184.7992987918832,221.4081220945014
horizontal,11,423.09090909090907,80.89662825365416,330,633,315.99333906317145,-249.6381607219596,-179.9262999570262,145.8533274313615,335.4507030641275,27.76645232482464
vertical,10,322.0,115.26144194829423,216,529,470.21832298136644,-78.86242236024844,16.109627329192545,86.21290185857943,58.60426301747691,332.9866038664611
